,saved_model,model,loss,accuracy,img_compression
0,InceptionV3_(2023-04-07)_0,InceptionV3,3.7743403911590576,0.47101449966430664,1
1,InceptionV3_(2023-04-07)_0,InceptionV3,3.7096659421920775,0.49275362491607666,3
2,InceptionV3_(2023-04-07)_0,InceptionV3,2.142667818069458,0.6449275612831116,6
3,InceptionV3_(2023-04-07)_0,InceptionV3,1.4956362843513489,0.717391312122345,9
4,InceptionV3_(2023-04-07)_0,InceptionV3,1.404713797569275,0.7246376872062683,11
5,InceptionV3_(2023-04-07)_0,InceptionV3,1.139083731174469,0.7898550629615784,14
6,InceptionV3_(2023-04-07)_0,InceptionV3,1.0577760338783264,0.8188405632972717,17
7,InceptionV3_(2023-04-07)_0,InceptionV3,0.9651691675186157,0.8478260636329651,20
8,InceptionV3_(2023-04-07)_0,InceptionV3,0.9691285610198974,0.8405796885490417,22
9,InceptionV3_(2023-04-07)_0,InceptionV3,0.8911582589149475,0.8333333134651184,25
10,InceptionV3_(2023-04-07)_0,InceptionV3,0.8451422035694123,0.8478260636329651,28
11,InceptionV3_(2023-04-07)_0,InceptionV3,0.8879782557487488,0.8333333134651184,30
12,InceptionV3_(2023-04-07)_0,InceptionV3,0.8442875027656556,0.8478260636329651,33
13,InceptionV3_(2023-04-07)_0,InceptionV3,0.7761738061904907,0.8478260636329651,36
14,InceptionV3_(2023-04-07)_0,InceptionV3,0.7411697924137115,0.8478260636329651,39
15,InceptionV3_(2023-04-07)_0,InceptionV3,0.7292221486568451,0.8478260636329651,41
16,InceptionV3_(2023-04-07)_0,InceptionV3,0.7495615065097809,0.8550724387168884,44
17,InceptionV3_(2023-04-07)_0,InceptionV3,0.7534444272518158,0.8550724387168884,47
18,InceptionV3_(2023-04-07)_0,InceptionV3,0.7481535732746124,0.8550724387168884,50
19,InceptionV3_(2023-04-08)_0,InceptionV3,3.110553574562073,0.5289855003356934,1
20,InceptionV3_(2023-04-08)_0,InceptionV3,3.1600453853607178,0.5507246255874634,3
