,saved_model,model,loss,accuracy,guass_noise
0,InceptionV3_(2023-04-07)_0,InceptionV3,0.5892228841781616,0.8659420073032379,0.0001
1,InceptionV3_(2023-04-07)_0,InceptionV3,0.5890291273593903,0.869565200805664,0.00018957356524063754
2,InceptionV3_(2023-04-07)_0,InceptionV3,0.5876211583614349,0.8760869681835175,0.00035938136638046257
3,InceptionV3_(2023-04-07)_0,InceptionV3,0.5896114051342011,0.8847826361656189,0.0006812920690579615
4,InceptionV3_(2023-04-07)_0,InceptionV3,0.6098747432231904,0.880434799194336,0.001291549665014884
5,InceptionV3_(2023-04-07)_0,InceptionV3,0.6526107847690582,0.8702898502349854,0.002448436746822227
6,InceptionV3_(2023-04-07)_0,InceptionV3,0.735206151008606,0.8434782385826111,0.004641588833612782
7,InceptionV3_(2023-04-07)_0,InceptionV3,0.9714191675186157,0.8275362133979798,0.008799225435691074
8,InceptionV3_(2023-04-07)_0,InceptionV3,1.3137180924415588,0.7855072379112243,0.016681005372000592
9,InceptionV3_(2023-04-07)_0,InceptionV3,1.7914934039115906,0.75,0.03162277660168379
10,InceptionV3_(2023-04-07)_0,InceptionV3,2.2618133068084716,0.6601449489593506,0.05994842503189409
11,InceptionV3_(2023-04-07)_0,InceptionV3,3.730879616737366,0.39565216898918154,0.11364636663857254
12,InceptionV3_(2023-04-07)_0,InceptionV3,6.948568344116211,0.08260869570076465,0.21544346900318845
13,InceptionV3_(2023-04-07)_0,InceptionV3,10.576393127441406,0.0036231884732842445,0.40842386526745217
14,InceptionV3_(2023-04-07)_0,InceptionV3,14.242474174499511,0.0,0.7742636826811278
15,InceptionV3_(2023-04-07)_0,InceptionV3,16.918842697143553,0.0,1.4677992676220706
16,InceptionV3_(2023-04-07)_0,InceptionV3,18.267952346801756,0.0,2.782559402207126
17,InceptionV3_(2023-04-07)_0,InceptionV3,19.102841186523438,0.0,5.27499706370262
18,InceptionV3_(2023-04-07)_0,InceptionV3,19.586598205566407,0.0,10.0
19,InceptionV3_(2023-04-08)_0,InceptionV3,0.6068232238292695,0.8463767886161804,0.0001
20,InceptionV3_(2023-04-08)_0,InceptionV3,0.6035109400749207,0.8463767886161804,0.00018957356524063754
21,InceptionV3_(2023-04-08)_0,InceptionV3,0.5922580778598785,0.8485507011413574,0.00035938136638046257
22,InceptionV3_(2023-04-08)_0,InceptionV3,0.579205471277237,0.8507246136665344,0.0006812920690579615
23,InceptionV3_(2023-04-08)_0,InceptionV3,0.5662763237953186,0.8615941762924194,0.001291549665014884
24,InceptionV3_(2023-04-08)_0,InceptionV3,0.5453494548797607,0.8615941762924194,0.002448436746822227
25,InceptionV3_(2023-04-08)_0,InceptionV3,0.5386869847774506,0.8579709947109222,0.004641588833612782
26,InceptionV3_(2023-04-08)_0,InceptionV3,0.5611258387565613,0.849999976158142,0.008799225435691074
27,InceptionV3_(2023-04-08)_0,InceptionV3,0.6850446403026581,0.810869550704956,0.016681005372000592
28,InceptionV3_(2023-04-08)_0,InceptionV3,0.9149784922599793,0.7550724625587464,0.03162277660168379
29,InceptionV3_(2023-04-08)_0,InceptionV3,1.3609266042709351,0.6623188614845276,0.05994842503189409
30,InceptionV3_(2023-04-08)_0,InceptionV3,2.464326596260071,0.39855071902275085,0.11364636663857254
31,InceptionV3_(2023-04-08)_0,InceptionV3,3.7769715070724486,0.2637681126594543,0.21544346900318845
32,InceptionV3_(2023-04-08)_0,InceptionV3,4.819675445556641,0.12608695551753044,0.40842386526745217
33,InceptionV3_(2023-04-08)_0,InceptionV3,5.395235538482666,0.07101449072360992,0.7742636826811278
34,InceptionV3_(2023-04-08)_0,InceptionV3,5.599128723144531,0.07246376574039459,1.4677992676220706
35,InceptionV3_(2023-04-08)_0,InceptionV3,5.7371540546417235,0.07173912823200226,2.782559402207126
36,InceptionV3_(2023-04-08)_0,InceptionV3,5.804766082763672,0.07173912823200226,5.27499706370262
37,InceptionV3_(2023-04-08)_0,InceptionV3,5.80567479133606,0.06956521570682525,10.0
38,InceptionV3_(2023-04-08)_1,InceptionV3,0.5256546020507813,0.869565200805664,0.0001
39,InceptionV3_(2023-04-08)_1,InceptionV3,0.5281363070011139,0.8637680947780609,0.00018957356524063754
40,InceptionV3_(2023-04-08)_1,InceptionV3,0.5214485287666321,0.8724637627601624,0.00035938136638046257
41,InceptionV3_(2023-04-08)_1,InceptionV3,0.5229075431823731,0.8717391192913055,0.0006812920690579615
42,InceptionV3_(2023-04-08)_1,InceptionV3,0.5183014512062073,0.8652173757553101,0.001291549665014884
43,InceptionV3_(2023-04-08)_1,InceptionV3,0.5342739164829254,0.8710144877433776,0.002448436746822227
44,InceptionV3_(2023-04-08)_1,InceptionV3,0.583158552646637,0.8586956322193146,0.004641588833612782
45,InceptionV3_(2023-04-08)_1,InceptionV3,0.7339232921600342,0.8253623008728027,0.008799225435691074
46,InceptionV3_(2023-04-08)_1,InceptionV3,1.1406808495521545,0.7623188376426697,0.016681005372000592
47,InceptionV3_(2023-04-08)_1,InceptionV3,2.197079229354858,0.6442029058933259,0.03162277660168379
48,InceptionV3_(2023-04-08)_1,InceptionV3,7.919341945648194,0.3289855092763901,0.05994842503189409
49,InceptionV3_(2023-04-08)_1,InceptionV3,21.937068939208984,0.042753622867166996,0.11364636663857254
50,InceptionV3_(2023-04-08)_1,InceptionV3,37.61650161743164,0.0,0.21544346900318845
51,InceptionV3_(2023-04-08)_1,InceptionV3,47.19226150512695,0.0,0.40842386526745217
52,InceptionV3_(2023-04-08)_1,InceptionV3,51.83196105957031,0.0,0.7742636826811278
