,saved_model,model,loss,accuracy,rotation
0,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.8567397594451904,0.8695652484893799,0
1,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.0660945892333984,0.8260869979858398,18
2,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.8594903588294983,0.8260869979858398,37
3,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.8123694717884063,0.8260869979858398,56
4,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.8192019522190094,0.7898550629615784,75
5,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.894597864151001,0.782608687877655,94
6,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.047887420654297,0.7463768124580383,113
7,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.1797330498695373,0.7463768124580383,132
8,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.0054635882377625,0.7971014380455017,151
9,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.101139199733734,0.782608687877655,170
10,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.1958038330078125,0.7318840622901917,189
11,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.116944432258606,0.7101449370384216,208
12,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.8793491423130035,0.739130437374115,227
13,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.0568988800048829,0.7681159377098083,246
14,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.0746110677719116,0.7971014380455017,265
15,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.135218048095703,0.739130437374115,284
16,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.9029584586620331,0.804347813129425,303
17,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.8177927017211915,0.8260869979858398,322
18,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.6527212798595429,0.8405797481536865,341
19,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.3438575744628907,0.8115942478179932,0
20,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.2086180925369263,0.8188406229019165,18
21,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.1572278141975403,0.804347813129425,37
22,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.1629552364349365,0.7681159377098083,56
23,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.1125017285346985,0.7898550629615784,75
24,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.4503080010414124,0.6811594367027283,94
25,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.7831657886505128,0.6666666865348816,113
26,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.837382400035858,0.6884058117866516,132
27,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.5613216280937194,0.7028985619544983,151
28,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.8979269981384277,0.6521739363670349,170
29,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.8171657919883728,0.6159420609474182,189
