,saved_model,model,loss,accuracy,brightness
0,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,10.888994121551514,0.09420289844274521,-0.9
1,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,5.401442384719848,0.3115942180156708,-0.8
2,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,3.6115782499313354,0.4275362491607666,-0.7000000000000001
3,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,2.3727532386779786,0.6086956858634949,-0.6000000000000001
4,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.8936813592910766,0.6666666865348816,-0.5000000000000001
5,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.8144558548927308,0.7101449370384216,-0.40000000000000013
6,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.7571737408638,0.717391312122345,-0.30000000000000016
7,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.557725155353546,0.7536231875419617,-0.20000000000000018
8,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.4998132705688476,0.7898550629615784,-0.1000000000000002
9,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.562836480140686,0.7753623127937317,-2.220446049250313e-16
10,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.537533175945282,0.7753623127937317,0.09999999999999976
11,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.2627654790878295,0.7753623127937317,0.19999999999999962
12,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.1674338459968567,0.7753623127937317,0.2999999999999997
13,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.1346551299095153,0.782608687877655,0.3999999999999998
14,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.4928139567375183,0.7101449370384216,0.49999999999999967
15,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,2.157552981376648,0.6304348111152649,0.5999999999999995
16,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,3.6474511861801147,0.52173912525177,0.6999999999999996
17,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,7.41788158416748,0.25362318754196167,0.7999999999999997
18,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,19.363315963745116,0.007246376946568489,0.8999999999999996
19,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,5.011508750915527,0.28985506296157837,-0.9
20,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,3.1281521320343018,0.5289855003356934,-0.8
21,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,2.2559282064437864,0.6304348111152649,-0.7000000000000001
22,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.852418839931488,0.7318840622901917,-0.6000000000000001
23,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.626316487789154,0.760869562625885,-0.5000000000000001
24,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.5261910080909729,0.7753623127937317,-0.40000000000000013
25,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.4728191614151,0.7753623127937317,-0.30000000000000016
26,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.3707347989082337,0.804347813129425,-0.20000000000000018
27,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.3299597144126891,0.8188406229019165,-0.1000000000000002
28,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.3005628705024719,0.8115942478179932,-2.220446049250313e-16
29,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.2426407933235168,0.8260869979858398,0.09999999999999976
30,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.106106436252594,0.8188406229019165,0.19999999999999962
31,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.2274953722953796,0.7898550629615784,0.2999999999999997
32,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.5771007418632508,0.782608687877655,0.3999999999999998
33,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.9879537105560303,0.7681159377098083,0.49999999999999967
34,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,2.107991600036621,0.739130437374115,0.5999999999999995
35,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,2.40202853679657,0.6666666865348816,0.6999999999999996
36,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,3.0012159824371336,0.4492753744125366,0.7999999999999997
37,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,6.638477230072022,0.028985507786273956,0.8999999999999996
38,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,7.7435994148254395,0.21014493703842163,-0.9
39,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,3.911509656906128,0.4855072498321533,-0.8
40,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,2.75385320186615,0.6231884360313416,-0.7000000000000001
41,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.8588067054748536,0.7028985619544983,-0.6000000000000001
42,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.4873229384422302,0.760869562625885,-0.5000000000000001
43,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.6710760593414307,0.7898550629615784,-0.40000000000000013
44,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.8370193243026733,0.782608687877655,-0.30000000000000016
45,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.7707977533340453,0.804347813129425,-0.20000000000000018
46,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.6639657139778137,0.8405797481536865,-0.1000000000000002
47,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.572948980331421,0.8405797481536865,-2.220446049250313e-16
