,saved_model,model,loss,accuracy,contrast
0,InceptionV3_(2023-04-07)_0,InceptionV3,7.05132908821106,0.17391304671764374,-0.9
1,InceptionV3_(2023-04-07)_0,InceptionV3,2.8653287649154664,0.5579710006713867,-0.8
2,InceptionV3_(2023-04-07)_0,InceptionV3,1.592212700843811,0.695652186870575,-0.7000000000000001
3,InceptionV3_(2023-04-07)_0,InceptionV3,1.1485658288002014,0.7536231875419617,-0.6000000000000001
4,InceptionV3_(2023-04-07)_0,InceptionV3,0.849070531129837,0.8115941882133484,-0.5000000000000001
5,InceptionV3_(2023-04-07)_0,InceptionV3,0.7312748730182648,0.8333333134651184,-0.40000000000000013
6,InceptionV3_(2023-04-07)_0,InceptionV3,0.6754623055458069,0.8478260636329651,-0.30000000000000016
7,InceptionV3_(2023-04-07)_0,InceptionV3,0.6332069098949432,0.8695651888847351,-0.20000000000000018
8,InceptionV3_(2023-04-07)_0,InceptionV3,0.6078678429126739,0.8623188138008118,-0.1000000000000002
9,InceptionV3_(2023-04-07)_0,InceptionV3,0.5897654473781586,0.8695651888847351,-2.220446049250313e-16
10,InceptionV3_(2023-04-07)_0,InceptionV3,0.5995318353176117,0.8623188138008118,0.09999999999999976
11,InceptionV3_(2023-04-07)_0,InceptionV3,0.6269143223762512,0.8623188138008118,0.19999999999999962
12,InceptionV3_(2023-04-07)_0,InceptionV3,0.7017915487289429,0.8405796885490417,0.2999999999999997
13,InceptionV3_(2023-04-07)_0,InceptionV3,0.788317608833313,0.8333333134651184,0.3999999999999998
14,InceptionV3_(2023-04-07)_0,InceptionV3,0.8871530950069427,0.8115941882133484,0.49999999999999967
15,InceptionV3_(2023-04-07)_0,InceptionV3,1.049573791027069,0.7898550629615784,0.5999999999999995
16,InceptionV3_(2023-04-07)_0,InceptionV3,1.207742726802826,0.7753623127937317,0.6999999999999996
17,InceptionV3_(2023-04-07)_0,InceptionV3,1.3711223483085633,0.7681159377098083,0.7999999999999997
18,InceptionV3_(2023-04-07)_0,InceptionV3,1.5666801929473877,0.7536231875419617,0.8999999999999996
19,InceptionV3_(2023-04-08)_0,InceptionV3,5.973889350891113,0.07246376574039459,-0.9
20,InceptionV3_(2023-04-08)_0,InceptionV3,2.42515869140625,0.5072463750839233,-0.8
21,InceptionV3_(2023-04-08)_0,InceptionV3,1.6276787757873534,0.6811594367027283,-0.7000000000000001
22,InceptionV3_(2023-04-08)_0,InceptionV3,1.241492509841919,0.7463768124580383,-0.6000000000000001
23,InceptionV3_(2023-04-08)_0,InceptionV3,0.9086348593235016,0.804347813129425,-0.5000000000000001
24,InceptionV3_(2023-04-08)_0,InceptionV3,0.7429737389087677,0.8260869383811951,-0.40000000000000013
25,InceptionV3_(2023-04-08)_0,InceptionV3,0.6671193659305572,0.8333333134651184,-0.30000000000000016
26,InceptionV3_(2023-04-08)_0,InceptionV3,0.6242384731769561,0.8405796885490417,-0.20000000000000018
27,InceptionV3_(2023-04-08)_0,InceptionV3,0.6042598962783814,0.8478260636329651,-0.1000000000000002
28,InceptionV3_(2023-04-08)_0,InceptionV3,0.6177406072616577,0.8478260636329651,-2.220446049250313e-16
29,InceptionV3_(2023-04-08)_0,InceptionV3,0.6541639983654022,0.8405796885490417,0.09999999999999976
30,InceptionV3_(2023-04-08)_0,InceptionV3,0.6312748968601227,0.8405796885490417,0.19999999999999962
31,InceptionV3_(2023-04-08)_0,InceptionV3,0.6322158753871918,0.8405796885490417,0.2999999999999997
32,InceptionV3_(2023-04-08)_0,InceptionV3,0.6744511187076568,0.8405796885490417,0.3999999999999998
33,InceptionV3_(2023-04-08)_0,InceptionV3,0.7184117555618286,0.8333333134651184,0.49999999999999967
34,InceptionV3_(2023-04-08)_0,InceptionV3,0.8102960169315339,0.8115941882133484,0.5999999999999995
35,InceptionV3_(2023-04-08)_0,InceptionV3,0.9146291434764862,0.7971014380455017,0.6999999999999996
36,InceptionV3_(2023-04-08)_0,InceptionV3,1.0040372014045715,0.7898550629615784,0.7999999999999997
37,InceptionV3_(2023-04-08)_0,InceptionV3,1.0727927327156066,0.7753623127937317,0.8999999999999996
38,InceptionV3_(2023-04-08)_1,InceptionV3,6.114738035202026,0.043478261679410934,-0.9
39,InceptionV3_(2023-04-08)_1,InceptionV3,3.2748252868652346,0.5289855003356934,-0.8
40,InceptionV3_(2023-04-08)_1,InceptionV3,1.9956538438796998,0.6739130616188049,-0.7000000000000001
41,InceptionV3_(2023-04-08)_1,InceptionV3,1.3661534190177917,0.739130437374115,-0.6000000000000001
42,InceptionV3_(2023-04-08)_1,InceptionV3,1.0331856608390808,0.7898550629615784,-0.5000000000000001
43,InceptionV3_(2023-04-08)_1,InceptionV3,0.8223012328147888,0.804347813129425,-0.40000000000000013
44,InceptionV3_(2023-04-08)_1,InceptionV3,0.686832994222641,0.8550724387168884,-0.30000000000000016
45,InceptionV3_(2023-04-08)_1,InceptionV3,0.6189203977584838,0.8550724387168884,-0.20000000000000018
46,InceptionV3_(2023-04-08)_1,InceptionV3,0.5691645503044128,0.8623188138008118,-0.1000000000000002
47,InceptionV3_(2023-04-08)_1,InceptionV3,0.5247721910476685,0.8695651888847351,-2.220446049250313e-16
48,InceptionV3_(2023-04-08)_1,InceptionV3,0.49396997690200806,0.8840579986572266,0.09999999999999976
49,InceptionV3_(2023-04-08)_1,InceptionV3,0.5713041365146637,0.8695651888847351,0.19999999999999962
50,InceptionV3_(2023-04-08)_1,InceptionV3,0.7454065203666687,0.8478260636329651,0.2999999999999997
