,saved_model,model,loss,accuracy,rotation
0,InceptionV3_(2023-04-07)_0,InceptionV3,0.5897653043270111,0.8695652484893799,0
1,InceptionV3_(2023-04-07)_0,InceptionV3,0.698939198255539,0.8188406229019165,18
2,InceptionV3_(2023-04-07)_0,InceptionV3,0.6024623274803161,0.8623188734054565,37
3,InceptionV3_(2023-04-07)_0,InceptionV3,0.5366772770881653,0.8695652484893799,56
4,InceptionV3_(2023-04-07)_0,InceptionV3,0.5502060532569886,0.8840579986572266,75
5,InceptionV3_(2023-04-07)_0,InceptionV3,0.8455205678939819,0.8333333730697632,94
6,InceptionV3_(2023-04-07)_0,InceptionV3,1.044107449054718,0.7101449370384216,113
7,InceptionV3_(2023-04-07)_0,InceptionV3,1.2680810332298278,0.6739130616188049,132
8,InceptionV3_(2023-04-07)_0,InceptionV3,1.303928303718567,0.6811594367027283,151
9,InceptionV3_(2023-04-07)_0,InceptionV3,1.29655020236969,0.6739130616188049,170
10,InceptionV3_(2023-04-07)_0,InceptionV3,1.5275967121124268,0.695652186870575,189
11,InceptionV3_(2023-04-07)_0,InceptionV3,1.7082676768302918,0.6594203114509583,208
12,InceptionV3_(2023-04-07)_0,InceptionV3,1.5267395615577697,0.695652186870575,227
13,InceptionV3_(2023-04-07)_0,InceptionV3,1.5359116077423096,0.6811594367027283,246
14,InceptionV3_(2023-04-07)_0,InceptionV3,1.2945917963981628,0.695652186870575,265
15,InceptionV3_(2023-04-07)_0,InceptionV3,0.9482563972473145,0.7898550629615784,284
16,InceptionV3_(2023-04-07)_0,InceptionV3,0.8671594440937043,0.8260869979858398,303
17,InceptionV3_(2023-04-07)_0,InceptionV3,0.7567580759525299,0.8333333730697632,322
18,InceptionV3_(2023-04-07)_0,InceptionV3,0.6789456903934479,0.8333333730697632,341
19,InceptionV3_(2023-04-08)_0,InceptionV3,0.6177406549453736,0.8478261232376099,0
20,InceptionV3_(2023-04-08)_0,InceptionV3,0.6599895536899567,0.8260869979858398,18
21,InceptionV3_(2023-04-08)_0,InceptionV3,0.559224647283554,0.8260869979858398,37
22,InceptionV3_(2023-04-08)_0,InceptionV3,0.6396682143211365,0.8260869979858398,56
23,InceptionV3_(2023-04-08)_0,InceptionV3,0.6262148559093476,0.8333333730697632,75
24,InceptionV3_(2023-04-08)_0,InceptionV3,0.7400944530963898,0.804347813129425,94
25,InceptionV3_(2023-04-08)_0,InceptionV3,0.9366844415664672,0.7681159377098083,113
26,InceptionV3_(2023-04-08)_0,InceptionV3,0.918145763874054,0.7536231875419617,132
27,InceptionV3_(2023-04-08)_0,InceptionV3,0.8961091041564941,0.7463768124580383,151
28,InceptionV3_(2023-04-08)_0,InceptionV3,0.8984767138957978,0.760869562625885,170
29,InceptionV3_(2023-04-08)_0,InceptionV3,1.0097681403160095,0.717391312122345,189
30,InceptionV3_(2023-04-08)_0,InceptionV3,1.0974287152290345,0.7028985619544983,208
31,InceptionV3_(2023-04-08)_0,InceptionV3,1.063816452026367,0.760869562625885,227
32,InceptionV3_(2023-04-08)_0,InceptionV3,1.028477931022644,0.760869562625885,246
33,InceptionV3_(2023-04-08)_0,InceptionV3,0.9520298361778259,0.760869562625885,265
34,InceptionV3_(2023-04-08)_0,InceptionV3,0.7496575891971589,0.8550724983215332,284
35,InceptionV3_(2023-04-08)_0,InceptionV3,0.6474962532520294,0.8623188734054565,303
36,InceptionV3_(2023-04-08)_0,InceptionV3,0.6012814939022064,0.8405797481536865,322
37,InceptionV3_(2023-04-08)_0,InceptionV3,0.5920454502105713,0.8695652484893799,341
38,InceptionV3_(2023-04-08)_1,InceptionV3,0.5247719883918762,0.8695652484893799,0
39,InceptionV3_(2023-04-08)_1,InceptionV3,0.5800476372241974,0.8478261232376099,18
40,InceptionV3_(2023-04-08)_1,InceptionV3,0.519602245092392,0.8623188734054565,37
41,InceptionV3_(2023-04-08)_1,InceptionV3,0.5216433107852936,0.8478261232376099,56
42,InceptionV3_(2023-04-08)_1,InceptionV3,0.6087433993816376,0.8478261232376099,75
43,InceptionV3_(2023-04-08)_1,InceptionV3,0.7369511187076568,0.7536231875419617,94
44,InceptionV3_(2023-04-08)_1,InceptionV3,1.0306589722633361,0.7463768124580383,113
45,InceptionV3_(2023-04-08)_1,InceptionV3,1.5265205264091493,0.6811594367027283,132
46,InceptionV3_(2023-04-08)_1,InceptionV3,1.13380686044693,0.7753623127937317,151
47,InceptionV3_(2023-04-08)_1,InceptionV3,1.1040636420249939,0.760869562625885,170
48,InceptionV3_(2023-04-08)_1,InceptionV3,1.208644187450409,0.7101449370384216,189
49,InceptionV3_(2023-04-08)_1,InceptionV3,1.3101578950881958,0.7101449370384216,208
50,InceptionV3_(2023-04-08)_1,InceptionV3,1.4818683028221131,0.6811594367027283,227
51,InceptionV3_(2023-04-08)_1,InceptionV3,1.6088008761405945,0.717391312122345,246
52,InceptionV3_(2023-04-08)_1,InceptionV3,1.808108353614807,0.717391312122345,265
53,InceptionV3_(2023-04-08)_1,InceptionV3,1.5121170043945313,0.760869562625885,284
54,InceptionV3_(2023-04-08)_1,InceptionV3,1.1494451761245728,0.7971014380455017,303
55,InceptionV3_(2023-04-08)_1,InceptionV3,1.0672885179519653,0.7971014380455017,322
56,InceptionV3_(2023-04-08)_1,InceptionV3,0.7912985503673553,0.8405797481536865,341
57,MobileNet_(2023-03-23)_0,MobileNet,0.9792991161346436,0.8188406229019165,0
58,MobileNet_(2023-03-23)_0,MobileNet,0.9211101949214935,0.8188406229019165,18
59,MobileNet_(2023-03-23)_0,MobileNet,0.7340772569179534,0.8405797481536865,37
60,MobileNet_(2023-03-23)_0,MobileNet,0.9733267247676849,0.7898550629615784,56
61,MobileNet_(2023-03-23)_0,MobileNet,1.061107325553894,0.717391312122345,75
62,MobileNet_(2023-03-23)_0,MobileNet,1.9068607091903687,0.6594203114509583,94
63,MobileNet_(2023-03-23)_0,MobileNet,2.2559268474578857,0.6304348111152649,113
64,MobileNet_(2023-03-23)_0,MobileNet,1.8587773323059082,0.6304348111152649,132
65,MobileNet_(2023-03-23)_0,MobileNet,1.9882274985313415,0.6304348111152649,151
66,MobileNet_(2023-03-23)_0,MobileNet,2.281203269958496,0.5652173757553101,170
67,MobileNet_(2023-03-23)_0,MobileNet,2.3516467332839968,0.5724637508392334,189
68,MobileNet_(2023-03-23)_0,MobileNet,2.1612539529800414,0.5797101259231567,208
69,MobileNet_(2023-03-23)_0,MobileNet,1.7731552600860596,0.6739130616188049,227
70,MobileNet_(2023-03-23)_0,MobileNet,1.4231548309326172,0.7028985619544983,246
71,MobileNet_(2023-03-23)_0,MobileNet,1.203278625011444,0.7463768124580383,265
72,MobileNet_(2023-03-23)_0,MobileNet,1.3583752274513246,0.7463768124580383,284
73,MobileNet_(2023-03-23)_0,MobileNet,1.5331171035766602,0.739130437374115,303
74,MobileNet_(2023-03-23)_0,MobileNet,1.3885163068771362,0.8115942478179932,322
75,MobileNet_(2023-03-23)_0,MobileNet,0.9762942671775818,0.7898550629615784,341
76,MobileNet_(2023-04-09)_0,MobileNet,0.5192029535770416,0.8695652484893799,0
77,MobileNet_(2023-04-09)_0,MobileNet,0.7311544060707093,0.8550724983215332,18
78,MobileNet_(2023-04-09)_0,MobileNet,0.6187327563762665,0.8478261232376099,37
79,MobileNet_(2023-04-09)_0,MobileNet,0.9129642963409423,0.8260869979858398,56
80,MobileNet_(2023-04-09)_0,MobileNet,1.2203014612197876,0.739130437374115,75
81,MobileNet_(2023-04-09)_0,MobileNet,1.5145962119102478,0.6884058117866516,94
82,MobileNet_(2023-04-09)_0,MobileNet,2.068940615653992,0.6376811861991882,113
83,MobileNet_(2023-04-09)_0,MobileNet,2.3494670152664185,0.54347825050354,132
84,MobileNet_(2023-04-09)_0,MobileNet,2.1831018209457396,0.5579710006713867,151
85,MobileNet_(2023-04-09)_0,MobileNet,2.7868061780929567,0.5,170
86,MobileNet_(2023-04-09)_0,MobileNet,2.7709940910339355,0.5724637508392334,189
87,MobileNet_(2023-04-09)_0,MobileNet,2.3225380897521974,0.54347825050354,208
88,MobileNet_(2023-04-09)_0,MobileNet,2.0133984327316283,0.5869565606117249,227
89,MobileNet_(2023-04-09)_0,MobileNet,1.9471370220184325,0.6521739363670349,246
90,MobileNet_(2023-04-09)_0,MobileNet,1.664786159992218,0.6739130616188049,265
91,MobileNet_(2023-04-09)_0,MobileNet,1.2782621026039123,0.7681159377098083,284
92,MobileNet_(2023-04-09)_0,MobileNet,1.0832151055336,0.782608687877655,303
93,MobileNet_(2023-04-09)_0,MobileNet,0.8599068939685821,0.8188406229019165,322
94,MobileNet_(2023-04-09)_0,MobileNet,0.6444997251033783,0.8768116235733032,341
