,saved_model,model,loss,accuracy,gauss_blur
0,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.5852914810180664,0.8695652484893799,1
1,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.6091312348842621,0.8695652484893799,3
2,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.6358126044273377,0.8623188734054565,5
3,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.6385868668556214,0.8478261232376099,7
4,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.6068350791931152,0.8550724983215332,9
5,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.6143088340759277,0.8405797481536865,11
6,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.7377275407314301,0.8260869979858398,13
7,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.9708698868751526,0.7898550629615784,15
8,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,1.295143222808838,0.760869562625885,17
9,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,1.692493736743927,0.717391312122345,19
10,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,2.3103177547454834,0.6376811861991882,21
11,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,3.014519762992859,0.52173912525177,23
12,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,3.597673010826111,0.4492753744125366,25
13,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,4.136747646331787,0.3550724685192108,27
14,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,4.526639223098755,0.30434784293174744,29
15,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,4.754502820968628,0.3115942180156708,31
16,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,4.892249631881714,0.28985506296157837,33
17,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,4.9902561664581295,0.260869562625885,35
18,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,5.074285316467285,0.23188406229019165,37
19,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.833330488204956,0.8405797481536865,1
20,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8302462816238403,0.8478261232376099,3
21,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8574279248714447,0.8550724983215332,5
22,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.9436814308166503,0.8188406229019165,7
23,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.0330474495887756,0.8115942478179932,9
24,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.148087453842163,0.7898550629615784,11
25,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.2807889342308045,0.7753623127937317,13
26,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.4250637531280517,0.7463768124580383,15
27,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.5865245580673217,0.717391312122345,17
28,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.761621356010437,0.6739130616188049,19
29,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.9793499946594237,0.6231884360313416,21
30,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,2.255116677284241,0.6159420609474182,23
31,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,2.601057767868042,0.5507246255874634,25
32,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,3.069526124000549,0.4855072498321533,27
33,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,3.7077516078948975,0.4275362491607666,29
34,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,4.513682222366333,0.34057971835136414,31
35,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,5.485911321640015,0.23188406229019165,33
36,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,6.580339574813843,0.11594203114509583,35
37,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,7.742762279510498,0.036231882870197296,37
38,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.5630268037319184,0.8985507488250732,1
39,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.5963093101978302,0.8840579986572266,3
40,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.6554721891880035,0.8768116235733032,5
41,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.7981195509433746,0.8550724983215332,7
42,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.9240007996559143,0.8333333730697632,9
43,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,1.0561772465705872,0.8115942478179932,11
44,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,1.183443546295166,0.7971014380455017,13
45,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,1.32474445104599,0.7753623127937317,15
46,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,1.4919989347457885,0.7101449370384216,17
47,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,1.65985906124115,0.6666666865348816,19
48,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,1.8421719670295715,0.6304348111152649,21
49,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,2.097722291946411,0.6231884360313416,23
50,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,2.4510539770126343,0.5652173757553101,25
51,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,2.912110471725464,0.52173912525177,27
52,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,3.493625259399414,0.45652174949645996,29
53,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,4.2133277416229244,0.3333333432674408,31
54,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,5.067866659164428,0.239130437374115,33
55,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,5.999913263320923,0.14492753148078918,35
56,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,6.935423517227173,0.07246376574039459,37
57,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.8998925924301148,0.8333333730697632,1
58,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.8906741380691529,0.8550724983215332,3
59,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.9468314349651337,0.8405797481536865,5
60,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.983421117067337,0.8333333730697632,7
61,MobileNet_aug40_(2023-05-16)_0,MobileNet,1.065407121181488,0.8260869979858398,9
62,MobileNet_aug40_(2023-05-16)_0,MobileNet,1.2277678012847901,0.8115942478179932,11
63,MobileNet_aug40_(2023-05-16)_0,MobileNet,1.4700636506080627,0.7681159377098083,13
64,MobileNet_aug40_(2023-05-16)_0,MobileNet,1.7896599531173707,0.739130437374115,15
65,MobileNet_aug40_(2023-05-16)_0,MobileNet,2.2126348495483397,0.6739130616188049,17
66,MobileNet_aug40_(2023-05-16)_0,MobileNet,2.6745532989501952,0.6376811861991882,19
67,MobileNet_aug40_(2023-05-16)_0,MobileNet,3.1037623643875123,0.6304348111152649,21
68,MobileNet_aug40_(2023-05-16)_0,MobileNet,3.5033013820648193,0.6014493107795715,23
69,MobileNet_aug40_(2023-05-16)_0,MobileNet,3.8738943099975587,0.5579710006713867,25
70,MobileNet_aug40_(2023-05-16)_0,MobileNet,4.235085582733154,0.5072463750839233,27
71,MobileNet_aug40_(2023-05-16)_0,MobileNet,4.723894119262695,0.4420289993286133,29
72,MobileNet_aug40_(2023-05-16)_0,MobileNet,5.3522301197052,0.34057971835136414,31
73,MobileNet_aug40_(2023-05-16)_0,MobileNet,6.122461271286011,0.239130437374115,33
74,MobileNet_aug40_(2023-05-16)_0,MobileNet,6.910088682174683,0.15217392146587372,35
75,MobileNet_aug40_(2023-05-16)_0,MobileNet,7.666094255447388,0.10144928097724915,37
76,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.62559774518013,0.8550724983215332,1
77,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.6673751711845398,0.8550724983215332,3
78,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.719273042678833,0.8260869979858398,5
79,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.8992778599262238,0.8115942478179932,7
80,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.0645689725875855,0.804347813129425,9
81,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.242897641658783,0.760869562625885,11
82,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.441352081298828,0.760869562625885,13
83,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.6514749646186828,0.717391312122345,15
84,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.873957085609436,0.7101449370384216,17
85,MobileNet_aug40_(2023-05-18)_0,MobileNet,2.1382561922073364,0.6884058117866516,19
86,MobileNet_aug40_(2023-05-18)_0,MobileNet,2.485594654083252,0.6014493107795715,21
87,MobileNet_aug40_(2023-05-18)_0,MobileNet,2.9129083871841432,0.5579710006713867,23
88,MobileNet_aug40_(2023-05-18)_0,MobileNet,3.338779902458191,0.5144927501678467,25
89,MobileNet_aug40_(2023-05-18)_0,MobileNet,3.6994957447052004,0.47101449966430664,27
90,MobileNet_aug40_(2023-05-18)_0,MobileNet,4.0712504386901855,0.4130434989929199,29
91,MobileNet_aug40_(2023-05-18)_0,MobileNet,4.470598649978638,0.32608696818351746,31
92,MobileNet_aug40_(2023-05-18)_0,MobileNet,4.88063678741455,0.2971014678478241,33
93,MobileNet_aug40_(2023-05-18)_0,MobileNet,5.2283682346344,0.25362318754196167,35
94,MobileNet_aug40_(2023-05-18)_0,MobileNet,5.529222106933593,0.15942029654979706,37
95,MobileNet_aug40_(2023-05-19)_0,MobileNet,0.6114300549030304,0.8623188734054565,1
96,MobileNet_aug40_(2023-05-19)_0,MobileNet,0.6568216264247895,0.8478261232376099,3
97,MobileNet_aug40_(2023-05-19)_0,MobileNet,0.7469304800033569,0.8405797481536865,5
98,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.013294243812561,0.8188406229019165,7
99,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.2247064471244813,0.7898550629615784,9
100,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.4061431407928466,0.782608687877655,11
101,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.5364519238471985,0.7681159377098083,13
102,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.6024404406547545,0.7536231875419617,15
103,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.6279293060302735,0.7463768124580383,17
104,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.6655324578285218,0.739130437374115,19
105,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.7832139134407043,0.7246376872062683,21
106,MobileNet_aug40_(2023-05-19)_0,MobileNet,2.006347322463989,0.6449275612831116,23
107,MobileNet_aug40_(2023-05-19)_0,MobileNet,2.3630870580673218,0.5942029356956482,25
108,MobileNet_aug40_(2023-05-19)_0,MobileNet,2.7293115615844727,0.5289855003356934,27
109,MobileNet_aug40_(2023-05-19)_0,MobileNet,3.07175931930542,0.4855072498321533,29
110,MobileNet_aug40_(2023-05-19)_0,MobileNet,3.393330955505371,0.4130434989929199,31
111,MobileNet_aug40_(2023-05-19)_0,MobileNet,3.6622859954833986,0.3840579688549042,33
112,MobileNet_aug40_(2023-05-19)_0,MobileNet,3.8614842891693115,0.34057971835136414,35
113,MobileNet_aug40_(2023-05-19)_0,MobileNet,4.020937442779541,0.3115942180156708,37
