,saved_model,model,loss,accuracy,downscale
0,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,6.79387149810791,0.05797101557254791,0.01
1,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,9.94052848815918,0.05797101557254791,0.012742749857031334
2,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,13.287807750701905,0.014492753893136978,0.016237767391887217
3,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,12.594318866729736,0.028985507786273956,0.0206913808111479
4,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,11.136101341247558,0.007246376946568489,0.026366508987303583
5,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,10.012372493743896,0.014492753893136978,0.03359818286283781
6,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,6.853405618667603,0.007246376946568489,0.04281332398719394
7,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,6.707159996032715,0.1304347813129425,0.0545559478116852
8,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,8.27379913330078,0.18840579688549042,0.06951927961775606
9,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,7.838374519348145,0.18115942180156708,0.08858667904100823
10,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,5.446067476272583,0.23188406229019165,0.11288378916846889
11,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,2.8176443576812744,0.4057971239089966,0.14384498882876628
12,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,1.650948989391327,0.6014493107795715,0.18329807108324356
13,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,1.2760617852210998,0.6811594367027283,0.23357214690901212
14,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.8435636937618256,0.7753623127937317,0.29763514416313175
15,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.6254917979240417,0.8623188734054565,0.37926901907322497
16,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.5552075982093811,0.8768116235733032,0.4832930238571752
17,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.5825897932052613,0.8623188734054565,0.615848211066026
18,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.5911317586898803,0.8623188734054565,0.7847599703514611
19,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,18.806854820251466,0.0,0.01
20,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,13.396874809265137,0.014492753893136978,0.012742749857031334
21,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,15.096934127807618,0.06521739065647125,0.016237767391887217
22,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,13.717042350769043,0.05797101557254791,0.0206913808111479
23,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,13.542441368103027,0.028985507786273956,0.026366508987303583
24,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,10.739791011810302,0.0,0.03359818286283781
25,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,8.898845291137695,0.014492753893136978,0.04281332398719394
26,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,7.550598239898681,0.10869565606117249,0.0545559478116852
27,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,5.648696994781494,0.260869562625885,0.06951927961775606
28,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,6.317047452926635,0.2971014678478241,0.08858667904100823
29,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,4.772873783111573,0.34057971835136414,0.11288378916846889
30,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,2.355794906616211,0.5289855003356934,0.14384498882876628
31,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,2.0326552391052246,0.5724637508392334,0.18329807108324356
32,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.3618241667747497,0.717391312122345,0.23357214690901212
33,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.1442467451095581,0.782608687877655,0.29763514416313175
34,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.0103771805763244,0.804347813129425,0.37926901907322497
35,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.2628841280937195,0.804347813129425,0.4832930238571752
36,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.1057678699493407,0.8260869979858398,0.615848211066026
37,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.2993177413940429,0.8115942478179932,0.7847599703514611
38,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,11.833541584014892,0.0,0.01
