,saved_model,model,loss,accuracy,gauss_blur
0,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.4896151691675186,0.8985507488250732,1
1,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.5562403798103333,0.8840579986572266,3
2,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.6155377566814423,0.8695652484893799,5
3,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.6923246324062348,0.8623188734054565,7
4,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.7389586925506592,0.8550724983215332,9
5,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.7945432186126709,0.8623188734054565,11
6,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.8699079394340515,0.8260869979858398,13
7,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.9849663853645325,0.7898550629615784,15
8,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,1.13888818025589,0.7681159377098083,17
9,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,1.3168176651000976,0.7536231875419617,19
10,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,1.562174344062805,0.6739130616188049,21
11,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,1.824623739719391,0.6666666865348816,23
12,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,2.1031291246414185,0.6376811861991882,25
13,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,2.4290493726730347,0.5869565606117249,27
14,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,2.7618402004241944,0.5362318754196167,29
15,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,3.1009955167770387,0.47826087474823,31
16,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,3.4662190675735474,0.3913043439388275,33
17,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,3.8781714916229246,0.3115942180156708,35
18,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,4.362692642211914,0.21739131212234497,37
19,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.5604143798351288,0.8695652484893799,1
20,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.5910495281219482,0.8478261232376099,3
21,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.6355398118495941,0.8478261232376099,5
22,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.7300032615661621,0.8260869979858398,7
23,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.8105746388435364,0.8188406229019165,9
24,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.9129416882991791,0.8260869979858398,11
25,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,1.0296658039093018,0.8115942478179932,13
26,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,1.1354790925979614,0.7971014380455017,15
27,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,1.2355695009231566,0.7681159377098083,17
28,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,1.3891836285591126,0.7318840622901917,19
29,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,1.64154714345932,0.695652186870575,21
30,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,2.1873560428619383,0.6304348111152649,23
31,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,3.108955478668213,0.5579710006713867,25
32,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,4.277963352203369,0.4637681245803833,27
33,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,5.885958862304688,0.3333333432674408,29
34,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,8.229418659210205,0.19565217196941376,31
35,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,11.325836944580079,0.11594203114509583,33
36,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,14.920371150970459,0.036231882870197296,35
37,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,18.585665893554687,0.007246376946568489,37
38,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,0.9377685785293579,0.8260869979858398,1
39,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,0.973592472076416,0.8188406229019165,3
40,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.024754285812378,0.8188406229019165,5
41,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.1005471467971801,0.8115942478179932,7
42,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.14821697473526,0.804347813129425,9
43,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.1969372510910035,0.804347813129425,11
44,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.2340132594108582,0.7971014380455017,13
45,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.2532510876655578,0.7971014380455017,15
46,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.2787676572799682,0.7753623127937317,17
47,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.3377625107765199,0.760869562625885,19
48,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.4099720239639282,0.7681159377098083,21
49,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.4956232070922852,0.7463768124580383,23
50,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.6122222304344178,0.7246376872062683,25
51,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.827758550643921,0.7101449370384216,27
52,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,2.148933744430542,0.6159420609474182,29
53,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,2.58550021648407,0.54347825050354,31
54,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,3.109513592720032,0.49275362491607666,33
55,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,3.7124802589416506,0.3913043439388275,35
56,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,4.378983449935913,0.28985506296157837,37
57,MobileNet_aug80_(2023-05-16)_0,MobileNet,0.7683731317520142,0.8695652484893799,1
58,MobileNet_aug80_(2023-05-16)_0,MobileNet,0.7353025496006012,0.8695652484893799,3
59,MobileNet_aug80_(2023-05-16)_0,MobileNet,0.7523707628250123,0.8840579986572266,5
60,MobileNet_aug80_(2023-05-16)_0,MobileNet,0.8889425218105316,0.8623188734054565,7
61,MobileNet_aug80_(2023-05-16)_0,MobileNet,1.0960444331169128,0.8478261232376099,9
62,MobileNet_aug80_(2023-05-16)_0,MobileNet,1.2624339818954469,0.8260869979858398,11
63,MobileNet_aug80_(2023-05-16)_0,MobileNet,1.4035298943519592,0.782608687877655,13
64,MobileNet_aug80_(2023-05-16)_0,MobileNet,1.5886618852615357,0.760869562625885,15
65,MobileNet_aug80_(2023-05-16)_0,MobileNet,1.8247252583503724,0.7463768124580383,17
66,MobileNet_aug80_(2023-05-16)_0,MobileNet,2.0303303718566896,0.7101449370384216,19
67,MobileNet_aug80_(2023-05-16)_0,MobileNet,2.256841206550598,0.6811594367027283,21
68,MobileNet_aug80_(2023-05-16)_0,MobileNet,2.569520950317383,0.6304348111152649,23
69,MobileNet_aug80_(2023-05-16)_0,MobileNet,2.934584045410156,0.5652173757553101,25
70,MobileNet_aug80_(2023-05-16)_0,MobileNet,3.2946496486663817,0.5289855003356934,27
71,MobileNet_aug80_(2023-05-16)_0,MobileNet,3.6987549543380736,0.49275362491607666,29
72,MobileNet_aug80_(2023-05-16)_0,MobileNet,4.169336223602295,0.42028987407684326,31
73,MobileNet_aug80_(2023-05-16)_0,MobileNet,4.76348729133606,0.3478260934352875,33
74,MobileNet_aug80_(2023-05-16)_0,MobileNet,5.478052234649658,0.25362318754196167,35
75,MobileNet_aug80_(2023-05-16)_0,MobileNet,6.239155435562134,0.18840579688549042,37
76,MobileNet_aug80_(2023-05-17)_0,MobileNet,0.6579334795475006,0.8623188734054565,1
