,saved_model,model,loss,accuracy,img_compression
0,InceptionV3_(2023-04-07)_0,InceptionV3,3.774340295791626,0.47101449966430664,1
1,InceptionV3_(2023-04-07)_0,InceptionV3,3.7575032711029053,0.47826087474823,2
2,InceptionV3_(2023-04-07)_0,InceptionV3,3.709665870666504,0.49275362491607666,3
3,InceptionV3_(2023-04-07)_0,InceptionV3,2.7711339712142946,0.5652173757553101,4
4,InceptionV3_(2023-04-07)_0,InceptionV3,2.6726780414581297,0.6086956262588501,5
5,InceptionV3_(2023-04-07)_0,InceptionV3,2.1426677942276,0.6449275612831116,6
6,InceptionV3_(2023-04-07)_0,InceptionV3,1.8413563013076781,0.6666666865348816,7
7,InceptionV3_(2023-04-07)_0,InceptionV3,1.6849759936332702,0.7101449370384216,8
8,InceptionV3_(2023-04-07)_0,InceptionV3,1.4956363201141358,0.717391312122345,9
9,InceptionV3_(2023-04-07)_0,InceptionV3,1.422515618801117,0.739130437374115,10
10,InceptionV3_(2023-04-07)_0,InceptionV3,1.200235867500305,0.7898550629615784,13
11,InceptionV3_(2023-04-07)_0,InceptionV3,1.0577760457992553,0.8188405632972717,17
12,InceptionV3_(2023-04-07)_0,InceptionV3,0.9691285729408264,0.8405796885490417,22
13,InceptionV3_(2023-04-07)_0,InceptionV3,0.8451422154903412,0.8478260636329651,28
14,InceptionV3_(2023-04-07)_0,InceptionV3,0.7761738061904907,0.8478260636329651,36
15,InceptionV3_(2023-04-07)_0,InceptionV3,0.7570313334465026,0.8550724387168884,46
16,InceptionV3_(2023-04-07)_0,InceptionV3,0.7054726600646972,0.8623188138008118,60
17,InceptionV3_(2023-04-07)_0,InceptionV3,0.6123144567012787,0.8695651888847351,78
18,InceptionV3_(2023-04-07)_0,InceptionV3,0.5775953650474548,0.8623188138008118,100
19,InceptionV3_(2023-04-08)_0,InceptionV3,3.1105535507202147,0.5289855003356934,1
20,InceptionV3_(2023-04-08)_0,InceptionV3,3.116815209388733,0.5289855003356934,2
21,InceptionV3_(2023-04-08)_0,InceptionV3,3.160045313835144,0.5507246255874634,3
22,InceptionV3_(2023-04-08)_0,InceptionV3,2.4479806661605834,0.6594203114509583,4
23,InceptionV3_(2023-04-08)_0,InceptionV3,2.619631314277649,0.6521739363670349,5
24,InceptionV3_(2023-04-08)_0,InceptionV3,2.2365714073181153,0.6884058117866516,6
25,InceptionV3_(2023-04-08)_0,InceptionV3,1.8989810943603516,0.7028985619544983,7
26,InceptionV3_(2023-04-08)_0,InceptionV3,1.7103325963020324,0.7318840622901917,8
27,InceptionV3_(2023-04-08)_0,InceptionV3,1.5221626996994018,0.7463768124580383,9
28,InceptionV3_(2023-04-08)_0,InceptionV3,1.4830313086509705,0.739130437374115,10
29,InceptionV3_(2023-04-08)_0,InceptionV3,1.298820185661316,0.7681159377098083,13
30,InceptionV3_(2023-04-08)_0,InceptionV3,1.1166515350341797,0.782608687877655,17
31,InceptionV3_(2023-04-08)_0,InceptionV3,1.019221580028534,0.8115941882133484,22
32,InceptionV3_(2023-04-08)_0,InceptionV3,0.9614830732345581,0.804347813129425,28
33,InceptionV3_(2023-04-08)_0,InceptionV3,0.8860437333583832,0.804347813129425,36
34,InceptionV3_(2023-04-08)_0,InceptionV3,0.8216403067111969,0.8260869383811951,46
35,InceptionV3_(2023-04-08)_0,InceptionV3,0.7502997398376465,0.8405796885490417,60
36,InceptionV3_(2023-04-08)_0,InceptionV3,0.6558495938777924,0.8478260636329651,78
37,InceptionV3_(2023-04-08)_0,InceptionV3,0.6550105810165405,0.8333333134651184,100
38,InceptionV3_(2023-04-08)_1,InceptionV3,2.918421673774719,0.5362318754196167,1
39,InceptionV3_(2023-04-08)_1,InceptionV3,2.923040437698364,0.5362318754196167,2
40,InceptionV3_(2023-04-08)_1,InceptionV3,2.667151165008545,0.5652173757553101,3
41,InceptionV3_(2023-04-08)_1,InceptionV3,2.076854205131531,0.6449275612831116,4
42,InceptionV3_(2023-04-08)_1,InceptionV3,1.9430635929107667,0.7246376872062683,5
43,InceptionV3_(2023-04-08)_1,InceptionV3,1.6588927507400513,0.7246376872062683,6
44,InceptionV3_(2023-04-08)_1,InceptionV3,1.3209473848342896,0.760869562625885,7
45,InceptionV3_(2023-04-08)_1,InceptionV3,1.05894216299057,0.7681159377098083,8
46,InceptionV3_(2023-04-08)_1,InceptionV3,0.9297120690345764,0.7753623127937317,9
47,InceptionV3_(2023-04-08)_1,InceptionV3,0.93764888048172,0.7898550629615784,10
48,InceptionV3_(2023-04-08)_1,InceptionV3,0.9278871297836304,0.804347813129425,13
49,InceptionV3_(2023-04-08)_1,InceptionV3,0.7573856770992279,0.8115941882133484,17
50,InceptionV3_(2023-04-08)_1,InceptionV3,0.6368393659591675,0.8333333134651184,22
51,InceptionV3_(2023-04-08)_1,InceptionV3,0.6303203046321869,0.8405796885490417,28
52,InceptionV3_(2023-04-08)_1,InceptionV3,0.6533527910709381,0.8478260636329651,36
53,InceptionV3_(2023-04-08)_1,InceptionV3,0.5944284200668335,0.8623188138008118,46
54,InceptionV3_(2023-04-08)_1,InceptionV3,0.5549989879131317,0.8695651888847351,60
55,InceptionV3_(2023-04-08)_1,InceptionV3,0.5033708572387695,0.8913043737411499,78
56,InceptionV3_(2023-04-08)_1,InceptionV3,0.5275119364261627,0.8695651888847351,100
57,MobileNet_(2023-03-23)_0,MobileNet,6.533331346511841,0.3188405930995941,1
58,MobileNet_(2023-03-23)_0,MobileNet,6.49124116897583,0.3333333432674408,2
59,MobileNet_(2023-03-23)_0,MobileNet,6.111760807037354,0.3695652186870575,3
60,MobileNet_(2023-03-23)_0,MobileNet,4.711636781692505,0.4202898442745209,4
61,MobileNet_(2023-03-23)_0,MobileNet,3.412993597984314,0.49275362491607666,5
62,MobileNet_(2023-03-23)_0,MobileNet,2.6315871238708497,0.5652173757553101,6
63,MobileNet_(2023-03-23)_0,MobileNet,2.307703948020935,0.6014492511749268,7
