,saved_model,model,loss,accuracy,contrast
0,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,1.9836214780807495,0.6231884360313416,-0.9
1,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,1.0498654246330261,0.7898550629615784,-0.8
2,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.8162000000476837,0.8333333730697632,-0.7000000000000001
3,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.6568347632884979,0.8405797481536865,-0.6000000000000001
4,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.5768964052200317,0.8695652484893799,-0.5000000000000001
5,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.5400141596794128,0.8695652484893799,-0.40000000000000013
6,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.5215946078300476,0.8695652484893799,-0.30000000000000016
7,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.5114195048809052,0.8768116235733032,-0.20000000000000018
8,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.5058897912502289,0.8768116235733032,-0.1000000000000002
9,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.4896151661872864,0.8985507488250732,-2.220446049250313e-16
10,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.45420273542404177,0.9202898740768433,0.09999999999999976
11,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.4378576040267944,0.9275362491607666,0.19999999999999962
12,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.5161294281482697,0.9202898740768433,0.2999999999999997
13,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.6307659566402435,0.8840579986572266,0.3999999999999998
14,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.7131944000720978,0.8623188734054565,0.49999999999999967
15,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.8035504400730134,0.8550724983215332,0.5999999999999995
16,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,0.9577230870723724,0.8405797481536865,0.6999999999999996
17,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,1.0926533818244935,0.8188406229019165,0.7999999999999997
18,InceptionV3_aug80_(2023-05-10)_0,InceptionV3,1.1978883624076844,0.8115942478179932,0.8999999999999996
19,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,2.0497568607330323,0.6449275612831116,-0.9
20,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,1.318476176261902,0.782608687877655,-0.8
21,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,1.106722104549408,0.8115942478179932,-0.7000000000000001
22,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.926819771528244,0.804347813129425,-0.6000000000000001
23,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.8022599518299103,0.8115942478179932,-0.5000000000000001
24,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.7084147155284881,0.8333333730697632,-0.40000000000000013
25,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.6493979930877686,0.8550724983215332,-0.30000000000000016
26,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.6078233838081359,0.8550724983215332,-0.20000000000000018
27,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.5848681271076203,0.8550724983215332,-0.1000000000000002
28,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.5604144096374511,0.8695652484893799,-2.220446049250313e-16
29,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.5134654521942139,0.8695652484893799,0.09999999999999976
30,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.45814295709133146,0.8768116235733032,0.19999999999999962
31,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.4405532032251358,0.8913043737411499,0.2999999999999997
32,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.4892540812492371,0.8768116235733032,0.3999999999999998
33,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.5911350190639496,0.8478261232376099,0.49999999999999967
34,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.7031558275222778,0.8333333730697632,0.5999999999999995
35,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.8607964158058167,0.8188406229019165,0.6999999999999996
36,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,0.9538817882537842,0.8188406229019165,0.7999999999999997
37,InceptionV3_aug80_(2023-05-13)_0,InceptionV3,1.0151873350143432,0.8188406229019165,0.8999999999999996
38,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.9232403993606568,0.6231884360313416,-0.9
39,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.3351962924003602,0.717391312122345,-0.8
40,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.1505750179290772,0.7898550629615784,-0.7000000000000001
41,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.0996791124343872,0.8260869979858398,-0.6000000000000001
42,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.0952512621879578,0.8260869979858398,-0.5000000000000001
43,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.091790771484375,0.8333333730697632,-0.40000000000000013
44,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.077552044391632,0.8333333730697632,-0.30000000000000016
45,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.0526746392250061,0.8260869979858398,-0.20000000000000018
46,InceptionV3_aug80_(2023-05-14)_0,InceptionV3,1.0151604175567628,0.8260869979858398,-0.1000000000000002
