,saved_model,model,loss,accuracy,gamma
0,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,8.666102600097656,0.07246376574039459,0.01
1,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,8.088787841796876,0.07246376574039459,0.01668100537200059
2,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,6.362640047073365,0.13768115639686584,0.027825594022071246
3,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,4.048157978057861,0.30434784293174744,0.04641588833612778
4,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,2.191361594200134,0.54347825050354,0.0774263682681127
5,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,1.175891065597534,0.7463768124580383,0.12915496650148842
6,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.935318899154663,0.7898550629615784,0.2154434690031883
7,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.8314087390899658,0.8188406229019165,0.3593813663804626
8,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.6175677359104157,0.8550724983215332,0.5994842503189409
9,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.5852914690971375,0.8695652484893799,1.0
10,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.5753334403038025,0.8840579986572266,1.6681005372000592
11,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.705454969406128,0.8478261232376099,2.782559402207123
12,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.8417652249336243,0.8550724983215332,4.6415888336127775
13,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,1.2674816250801086,0.7318840622901917,7.742636826811269
14,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,2.723468041419983,0.5652173757553101,12.915496650148828
15,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,4.020827865600586,0.3695652186870575,21.544346900318825
16,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,5.258811998367309,0.2753623127937317,35.93813663804626
17,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,6.2321099758148195,0.2246376872062683,59.94842503189408
18,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,6.618196296691894,0.1666666716337204,100.0
19,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,14.892393970489502,0.028985507786273956,0.01
20,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,14.170638370513917,0.028985507786273956,0.01668100537200059
21,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,9.911776733398437,0.10869565606117249,0.027825594022071246
22,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,4.4915345191955565,0.4057971239089966,0.04641588833612778
23,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,2.110343503952026,0.6376811861991882,0.0774263682681127
24,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.3785518765449525,0.760869562625885,0.12915496650148842
25,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.1103238940238953,0.8115942478179932,0.2154434690031883
26,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.9603084802627564,0.8260869979858398,0.3593813663804626
27,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8695867717266083,0.8478261232376099,0.5994842503189409
28,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8333305060863495,0.8405797481536865,1.0
29,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8700474560260772,0.8478261232376099,1.6681005372000592
30,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.0970672249794007,0.804347813129425,2.782559402207123
31,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.52499018907547,0.7463768124580383,4.6415888336127775
32,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,2.1570322036743166,0.5724637508392334,7.742636826811269
33,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,3.2771878004074098,0.4492753744125366,12.915496650148828
34,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,4.602208375930786,0.34057971835136414,21.544346900318825
35,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,5.90200662612915,0.24637681245803833,35.93813663804626
36,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,6.96956148147583,0.2246376872062683,59.94842503189408
37,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,7.50455904006958,0.2028985619544983,100.0
