,saved_model,model,loss,accuracy,gauss_noise
0,InceptionV3_(2023-04-07)_0,InceptionV3,0.6031642019748688,0.8768115997314453,0.001
1,InceptionV3_(2023-04-07)_0,InceptionV3,0.6108841478824616,0.8840579926967621,0.0014677992676220691
2,InceptionV3_(2023-04-07)_0,InceptionV3,0.6407016694545746,0.8731883943080903,0.0021544346900318843
3,InceptionV3_(2023-04-07)_0,InceptionV3,0.6664171338081359,0.8630434572696686,0.0031622776601683794
4,InceptionV3_(2023-04-07)_0,InceptionV3,0.7269252479076386,0.8536231637001037,0.004641588833612777
5,InceptionV3_(2023-04-07)_0,InceptionV3,0.8416442692279815,0.8384057760238648,0.006812920690579608
6,InceptionV3_(2023-04-07)_0,InceptionV3,1.0536759316921234,0.810869550704956,0.01
7,InceptionV3_(2023-04-07)_0,InceptionV3,1.2296832919120788,0.786956512928009,0.01467799267622069
8,InceptionV3_(2023-04-07)_0,InceptionV3,1.504951786994934,0.7695652127265931,0.021544346900318832
9,InceptionV3_(2023-04-07)_0,InceptionV3,1.794931137561798,0.7420289874076843,0.03162277660168379
10,InceptionV3_(2023-04-07)_0,InceptionV3,2.0523473739624025,0.7057971119880676,0.046415888336127774
11,InceptionV3_(2023-04-07)_0,InceptionV3,2.4808592557907105,0.6137680947780609,0.06812920690579612
12,InceptionV3_(2023-04-07)_0,InceptionV3,3.2801411151885986,0.45579710602760315,0.1
13,InceptionV3_(2023-04-07)_0,InceptionV3,4.875525093078613,0.26521738767623904,0.1467799267622069
14,InceptionV3_(2023-04-07)_0,InceptionV3,6.9894215106964115,0.08913043588399887,0.21544346900318823
15,InceptionV3_(2023-04-07)_0,InceptionV3,9.21821346282959,0.013768116198480129,0.31622776601683794
16,InceptionV3_(2023-04-07)_0,InceptionV3,11.500444698333741,0.002898550778627396,0.46415888336127775
17,InceptionV3_(2023-04-07)_0,InceptionV3,13.723657321929931,0.0,0.6812920690579608
18,InceptionV3_(2023-04-07)_0,InceptionV3,15.455000019073486,0.0,1.0
19,InceptionV3_(2023-04-08)_0,InceptionV3,0.5699848473072052,0.8557970762252808,0.001
20,InceptionV3_(2023-04-08)_0,InceptionV3,0.5553790092468261,0.8630434513092041,0.0014677992676220691
21,InceptionV3_(2023-04-08)_0,InceptionV3,0.5399522602558136,0.8630434513092041,0.0021544346900318843
22,InceptionV3_(2023-04-08)_0,InceptionV3,0.544782555103302,0.8644927322864533,0.0031622776601683794
23,InceptionV3_(2023-04-08)_0,InceptionV3,0.5487685739994049,0.8615941822528839,0.004641588833612777
24,InceptionV3_(2023-04-08)_0,InceptionV3,0.5588871717453003,0.8557970762252808,0.006812920690579608
25,InceptionV3_(2023-04-08)_0,InceptionV3,0.5818637371063232,0.8384057760238648,0.01
26,InceptionV3_(2023-04-08)_0,InceptionV3,0.6569332122802735,0.8159420132637024,0.01467799267622069
27,InceptionV3_(2023-04-08)_0,InceptionV3,0.743395984172821,0.7855072379112243,0.021544346900318832
28,InceptionV3_(2023-04-08)_0,InceptionV3,0.9135023951530457,0.7594202876091003,0.03162277660168379
29,InceptionV3_(2023-04-08)_0,InceptionV3,1.1375184297561645,0.70652174949646,0.046415888336127774
30,InceptionV3_(2023-04-08)_0,InceptionV3,1.5471826910972595,0.6021738946437836,0.06812920690579612
31,InceptionV3_(2023-04-08)_0,InceptionV3,2.204238176345825,0.46521739661693573,0.1
32,InceptionV3_(2023-04-08)_0,InceptionV3,3.032313919067383,0.3188405781984329,0.1467799267622069
33,InceptionV3_(2023-04-08)_0,InceptionV3,3.7849531173706055,0.25724637508392334,0.21544346900318823
34,InceptionV3_(2023-04-08)_0,InceptionV3,4.457557249069214,0.19492753446102143,0.31622776601683794
35,InceptionV3_(2023-04-08)_0,InceptionV3,4.973707580566407,0.09999999925494193,0.46415888336127775
36,InceptionV3_(2023-04-08)_0,InceptionV3,5.300895071029663,0.07318840399384499,0.6812920690579608
37,InceptionV3_(2023-04-08)_0,InceptionV3,5.495853662490845,0.07101449072360992,1.0
38,InceptionV3_(2023-04-08)_1,InceptionV3,0.5143800377845764,0.8688405692577362,0.001
39,InceptionV3_(2023-04-08)_1,InceptionV3,0.5180824220180511,0.8702898442745208,0.0014677992676220691
40,InceptionV3_(2023-04-08)_1,InceptionV3,0.5293917953968048,0.8702898502349854,0.0021544346900318843
41,InceptionV3_(2023-04-08)_1,InceptionV3,0.5444586753845215,0.8666666507720947,0.0031622776601683794
42,InceptionV3_(2023-04-08)_1,InceptionV3,0.5863078713417054,0.8659420132637023,0.004641588833612777
43,InceptionV3_(2023-04-08)_1,InceptionV3,0.6582410752773284,0.8333333134651184,0.006812920690579608
44,InceptionV3_(2023-04-08)_1,InceptionV3,0.7862947106361389,0.817391288280487,0.01
45,InceptionV3_(2023-04-08)_1,InceptionV3,1.028855311870575,0.7818840503692627,0.01467799267622069
46,InceptionV3_(2023-04-08)_1,InceptionV3,1.4421770095825195,0.7304347872734069,0.021544346900318832
47,InceptionV3_(2023-04-08)_1,InceptionV3,2.2476397514343263,0.6557971239089966,0.03162277660168379
48,InceptionV3_(2023-04-08)_1,InceptionV3,4.771141481399536,0.47028985917568206,0.046415888336127774
49,InceptionV3_(2023-04-08)_1,InceptionV3,10.245809078216553,0.24202898591756822,0.06812920690579612
50,InceptionV3_(2023-04-08)_1,InceptionV3,18.834719848632812,0.06231884025037289,0.1
51,InceptionV3_(2023-04-08)_1,InceptionV3,28.641004371643067,0.001449275389313698,0.1467799267622069
52,InceptionV3_(2023-04-08)_1,InceptionV3,37.65413589477539,0.0,0.21544346900318823
