,saved_model,model,loss,accuracy,motion_blur
0,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.8387809872627259,0.8681159734725952,3
1,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.8079770982265473,0.8623188734054565,7
2,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.7447893857955933,0.8413043856620789,13
3,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.8189163625240325,0.8123188614845276,19
4,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,0.9539179742336273,0.780434787273407,23
5,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.3487938046455383,0.7050724744796752,29
6,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.6196241974830627,0.6557971239089966,35
7,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,1.7889652609825135,0.6224637806415558,39
8,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,2.344561767578125,0.54347825050354,45
9,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,2.663751411437988,0.506521737575531,51
10,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,2.845400071144104,0.47391304969787595,55
11,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,3.2402079820632936,0.4195652216672897,61
12,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,3.4910089492797853,0.3847826153039932,67
13,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,3.7168588161468508,0.34855073392391206,73
14,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,3.974215793609619,0.3123188465833664,77
15,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,4.151105165481567,0.3065217465162277,83
16,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,4.412428474426269,0.2833333402872086,89
17,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,4.645126152038574,0.24275362342596055,93
18,InceptionV3_aug60_(2023-05-11)_0,InceptionV3,4.753316593170166,0.23840579986572266,99
19,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.318440055847168,0.8123188793659211,3
20,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.2350839138031007,0.804347836971283,7
21,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.2208747506141662,0.7876811504364014,13
22,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.25721914768219,0.7681159377098083,19
23,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.5834502935409547,0.72826087474823,23
24,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,1.810731017589569,0.6898550868034363,29
25,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,2.33640193939209,0.6340579926967621,35
26,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,2.5444280385971068,0.5898550808429718,39
27,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,3.126820683479309,0.5144927501678467,45
28,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,3.6424092769622805,0.4724637746810913,51
29,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,4.079391098022461,0.4347826182842255,55
30,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,4.510493993759155,0.4072463870048523,61
31,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,4.947246503829956,0.3608695685863495,67
32,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,5.339078426361084,0.3398550808429718,73
33,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,5.827556896209717,0.31086957156658174,77
34,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,6.190553903579712,0.2789855062961578,83
35,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,6.547442436218262,0.26304347813129425,89
36,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,6.7488665103912355,0.25507246553897855,93
37,InceptionV3_aug60_(2023-05-13)_0,InceptionV3,7.193131780624389,0.23260869830846786,99
38,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,1.0561602115631104,0.8557971358299256,3
39,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,1.1731846809387207,0.8507246732711792,7
40,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,1.336475145816803,0.8376811981201172,13
41,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,1.5504439711570739,0.7898550689220428,19
42,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,1.7081489324569703,0.7557971000671386,23
43,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,2.2295113086700438,0.6652174115180969,29
44,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,2.7799719095230104,0.5884058117866516,35
45,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,3.1666263580322265,0.549999988079071,39
46,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,3.6124012947082518,0.504347825050354,45
47,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,4.02716588973999,0.4644927591085434,51
48,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,4.56389594078064,0.41666667759418485,55
49,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,4.964670991897583,0.38550724983215334,61
50,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,5.266520023345947,0.3702898591756821,67
51,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,5.797231864929199,0.3318840652704239,73
52,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,5.92992582321167,0.3181159496307373,77
53,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,6.2167603969573975,0.30217391848564146,83
54,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,6.755114603042602,0.2659420296549797,89
55,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,6.903910446166992,0.2623188406229019,93
56,InceptionV3_aug60_(2023-05-14)_0,InceptionV3,7.475051975250244,0.25072463750839236,99
57,MobileNet_aug60_(2023-05-16)_0,MobileNet,1.4905762195587158,0.7695652127265931,3
58,MobileNet_aug60_(2023-05-16)_0,MobileNet,1.570850658416748,0.7681159377098083,7
59,MobileNet_aug60_(2023-05-16)_0,MobileNet,1.903576707839966,0.75,13
60,MobileNet_aug60_(2023-05-16)_0,MobileNet,2.664891505241394,0.7079710245132447,19
61,MobileNet_aug60_(2023-05-16)_0,MobileNet,3.553357219696045,0.6492753863334656,23
62,MobileNet_aug60_(2023-05-16)_0,MobileNet,4.789186286926269,0.5739130496978759,29
63,MobileNet_aug60_(2023-05-16)_0,MobileNet,6.197499418258667,0.5159420251846314,35
64,MobileNet_aug60_(2023-05-16)_0,MobileNet,7.637704229354858,0.44855073392391204,39
65,MobileNet_aug60_(2023-05-16)_0,MobileNet,9.63736515045166,0.37173913419246674,45
66,MobileNet_aug60_(2023-05-16)_0,MobileNet,10.06558952331543,0.33405797779560087,51
67,MobileNet_aug60_(2023-05-16)_0,MobileNet,11.587239360809326,0.31304348409175875,55
68,MobileNet_aug60_(2023-05-16)_0,MobileNet,12.555975437164307,0.26376811861991883,61
69,MobileNet_aug60_(2023-05-16)_0,MobileNet,13.261079788208008,0.25724637508392334,67
70,MobileNet_aug60_(2023-05-16)_0,MobileNet,14.170519924163818,0.2231884092092514,73
71,MobileNet_aug60_(2023-05-16)_0,MobileNet,14.724216079711914,0.2152173936367035,77
72,MobileNet_aug60_(2023-05-16)_0,MobileNet,15.513714408874511,0.17971014827489853,83
73,MobileNet_aug60_(2023-05-16)_0,MobileNet,16.21470546722412,0.17463768497109414,89
74,MobileNet_aug60_(2023-05-16)_0,MobileNet,17.48002758026123,0.1500000014901161,93
75,MobileNet_aug60_(2023-05-16)_0,MobileNet,17.720263671875,0.1471014514565468,99
76,MobileNet_aug60_(2023-05-18)_0,MobileNet,0.9768059313297272,0.8282609105110168,3
77,MobileNet_aug60_(2023-05-18)_0,MobileNet,1.076940542459488,0.8181159794330597,7
78,MobileNet_aug60_(2023-05-18)_0,MobileNet,1.3987550258636474,0.7862318813800812,13
79,MobileNet_aug60_(2023-05-18)_0,MobileNet,1.7705017685890199,0.7253623247146607,19
80,MobileNet_aug60_(2023-05-18)_0,MobileNet,1.9925385951995849,0.6833333492279052,23
81,MobileNet_aug60_(2023-05-18)_0,MobileNet,2.738965916633606,0.5971014678478241,29
82,MobileNet_aug60_(2023-05-18)_0,MobileNet,3.212408518791199,0.5318840503692627,35
83,MobileNet_aug60_(2023-05-18)_0,MobileNet,3.8665775775909426,0.482608699798584,39
84,MobileNet_aug60_(2023-05-18)_0,MobileNet,4.256986236572265,0.43478262424468994,45
85,MobileNet_aug60_(2023-05-18)_0,MobileNet,5.074807739257812,0.36811594665050507,51
86,MobileNet_aug60_(2023-05-18)_0,MobileNet,5.669831562042236,0.33550724685192107,55
87,MobileNet_aug60_(2023-05-18)_0,MobileNet,6.314044332504272,0.28695652484893797,61
88,MobileNet_aug60_(2023-05-18)_0,MobileNet,6.679403352737427,0.2688405826687813,67
89,MobileNet_aug60_(2023-05-18)_0,MobileNet,7.489188718795776,0.2275362342596054,73
90,MobileNet_aug60_(2023-05-18)_0,MobileNet,7.728148794174194,0.23405797332525252,77
91,MobileNet_aug60_(2023-05-18)_0,MobileNet,8.612603759765625,0.1949275404214859,83
92,MobileNet_aug60_(2023-05-18)_0,MobileNet,9.02483491897583,0.18695652335882187,89
93,MobileNet_aug60_(2023-05-18)_0,MobileNet,9.185074615478516,0.186956524848938,93
94,MobileNet_aug60_(2023-05-18)_0,MobileNet,9.740811920166015,0.16231884509325029,99
95,MobileNet_aug60_(2023-05-19)_0,MobileNet,0.9914212048053741,0.8173913478851318,3
96,MobileNet_aug60_(2023-05-19)_0,MobileNet,0.8943787395954133,0.8173913300037384,7
97,MobileNet_aug60_(2023-05-19)_0,MobileNet,0.9446891367435455,0.8086956739425659,13
98,MobileNet_aug60_(2023-05-19)_0,MobileNet,1.1703906416893006,0.7775362253189086,19
99,MobileNet_aug60_(2023-05-19)_0,MobileNet,1.399427890777588,0.7405797123908997,23
100,MobileNet_aug60_(2023-05-19)_0,MobileNet,1.8965601682662965,0.6818840742111206,29
101,MobileNet_aug60_(2023-05-19)_0,MobileNet,2.4154061794281008,0.597101479768753,35
102,MobileNet_aug60_(2023-05-19)_0,MobileNet,2.6250734329223633,0.5731884121894837,39
103,MobileNet_aug60_(2023-05-19)_0,MobileNet,3.1470373630523683,0.5210144877433777,45
104,MobileNet_aug60_(2023-05-19)_0,MobileNet,3.4142823457717895,0.489130437374115,51
105,MobileNet_aug60_(2023-05-19)_0,MobileNet,3.744333863258362,0.446376821398735,55
106,MobileNet_aug60_(2023-05-19)_0,MobileNet,4.121492457389832,0.3927536278963089,61
107,MobileNet_aug60_(2023-05-19)_0,MobileNet,4.527278423309326,0.3637681245803833,67
108,MobileNet_aug60_(2023-05-19)_0,MobileNet,4.902270412445068,0.3210144996643066,73
109,MobileNet_aug60_(2023-05-19)_0,MobileNet,5.1935067653656,0.29637682139873506,77
110,MobileNet_aug60_(2023-05-19)_0,MobileNet,5.237350797653198,0.28985507786273956,83
111,MobileNet_aug60_(2023-05-19)_0,MobileNet,5.510820579528809,0.26884058117866516,89
112,MobileNet_aug60_(2023-05-19)_0,MobileNet,5.640461492538452,0.2702898561954498,93
113,MobileNet_aug60_(2023-05-19)_0,MobileNet,6.0504798412323,0.23043478578329085,99
