,saved_model,model,loss,accuracy,gamma
0,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,5.285981607437134,0.0,0.01
1,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,5.252166414260865,0.007246376946568489,0.01668100537200059
2,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,4.791495752334595,0.021739130839705467,0.027825594022071246
3,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,3.0286736726760863,0.28260868787765503,0.04641588833612778
4,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,1.5627403855323792,0.6666666865348816,0.0774263682681127
5,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,1.1013108372688294,0.7753623127937317,0.12915496650148842
6,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.7472329199314117,0.8115942478179932,0.2154434690031883
7,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.5333462059497833,0.8623188734054565,0.3593813663804626
8,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.48791096806526185,0.8840579986572266,0.5994842503189409
9,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.5593581259250641,0.8695652484893799,1.0
10,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.6422336518764495,0.8405797481536865,1.6681005372000592
11,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,0.8054071187973022,0.7753623127937317,2.782559402207123
12,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,1.5725146174430846,0.6086956858634949,4.6415888336127775
13,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,3.1069107055664062,0.39855071902275085,7.742636826811269
14,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,4.489131069183349,0.24637681245803833,12.915496650148828
15,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,5.764727544784546,0.14492753148078918,21.544346900318825
16,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,6.648698091506958,0.09420289844274521,35.93813663804626
17,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,6.8468176364898685,0.05072464048862457,59.94842503189408
18,InceptionV3_aug20_(2023-05-11)_0,InceptionV3,6.6708189964294435,0.05072464048862457,100.0
19,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,27.398494720458984,0.0,0.01
20,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,27.941222953796387,0.0,0.01668100537200059
21,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,26.971277236938477,0.0,0.027825594022071246
22,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,17.64047737121582,0.06521739065647125,0.04641588833612778
23,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,6.112133169174195,0.37681159377098083,0.0774263682681127
24,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.8958326578140259,0.6521739363670349,0.12915496650148842
25,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,0.9758008480072021,0.782608687877655,0.2154434690031883
26,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,0.9780105829238892,0.8333333730697632,0.3593813663804626
27,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.1379794001579284,0.8405797481536865,0.5994842503189409
28,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.2514167189598084,0.8333333730697632,1.0
29,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.2580238223075866,0.8260869979858398,1.6681005372000592
30,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.2768687963485719,0.7971014380455017,2.782559402207123
31,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,1.539367926120758,0.7463768124580383,4.6415888336127775
32,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,2.614870309829712,0.5724637508392334,7.742636826811269
33,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,4.680924892425537,0.37681159377098083,12.915496650148828
34,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,6.876292943954468,0.25362318754196167,21.544346900318825
35,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,9.268736457824707,0.18840579688549042,35.93813663804626
36,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,11.10609483718872,0.1304347813129425,59.94842503189408
37,InceptionV3_aug20_(2023-05-12)_0,InceptionV3,12.465372848510743,0.10869565606117249,100.0
38,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,19.6535364151001,0.0,0.01
39,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,19.219558334350587,0.007246376946568489,0.01668100537200059
40,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,15.637978553771973,0.028985507786273956,0.027825594022071246
41,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,9.134707641601562,0.21014493703842163,0.04641588833612778
42,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,4.631091356277466,0.45652174949645996,0.0774263682681127
43,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,2.5632960557937623,0.6521739363670349,0.12915496650148842
44,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,1.7274901866912842,0.7536231875419617,0.2154434690031883
45,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,1.3265628695487977,0.804347813129425,0.3593813663804626
46,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,1.1294807314872741,0.8188406229019165,0.5994842503189409
47,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,1.0829291343688965,0.8333333730697632,1.0
48,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,1.1273922204971314,0.8260869979858398,1.6681005372000592
49,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,1.3706732153892518,0.7753623127937317,2.782559402207123
50,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,1.8062410354614258,0.7246376872062683,4.6415888336127775
51,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,2.5009001731872558,0.6231884360313416,7.742636826811269
