,saved_model,model,loss,accuracy,rotation
0,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.5852914929389954,0.8695652484893799,0
1,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.38600622713565824,0.8840579986572266,18
2,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.45491029024124147,0.8840579986572266,37
3,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.5607583105564118,0.8550724983215332,56
4,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.6230006337165832,0.8768116235733032,75
5,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.6101972460746765,0.8913043737411499,94
6,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.5624950468540192,0.8695652484893799,113
7,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.6819590270519257,0.8550724983215332,132
8,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.6961814820766449,0.8623188734054565,151
9,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,1.2361013531684875,0.7681159377098083,170
10,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.8302716791629792,0.8188406229019165,189
11,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.8718529939651489,0.7681159377098083,208
12,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.8996542990207672,0.804347813129425,227
13,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.8093223631381988,0.8623188734054565,246
14,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.9378378033638001,0.8260869979858398,265
15,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.9360825777053833,0.8333333730697632,284
16,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.7722688913345337,0.8840579986572266,303
17,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.7774821877479553,0.8985507488250732,322
18,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.569125521183014,0.8985507488250732,341
19,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8333305060863495,0.8405797481536865,0
20,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.025086522102356,0.8188406229019165,18
21,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8705113649368286,0.8260869979858398,37
22,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8516451358795166,0.804347813129425,56
23,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.7813600659370422,0.8188406229019165,75
24,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.7383173286914826,0.8478261232376099,94
25,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.7858658254146575,0.8188406229019165,113
26,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.9322559595108032,0.782608687877655,132
27,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.9879038333892822,0.7898550629615784,151
28,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.0199462056159974,0.7898550629615784,170
29,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.1842167735099793,0.7753623127937317,189
30,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.0908952593803405,0.782608687877655,208
31,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.154344081878662,0.739130437374115,227
32,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.010219979286194,0.739130437374115,246
33,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.1581629514694214,0.782608687877655,265
34,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.2296476364135742,0.8115942478179932,284
35,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.118216323852539,0.804347813129425,303
