,saved_model,model,loss,accuracy,motion_blur
0,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.5550773859024047,0.7724637627601624,3
1,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.476822316646576,0.773913037776947,7
2,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.4028122067451476,0.743478262424469,13
3,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.5806920886039735,0.7014492869377136,19
4,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,1.9103923320770264,0.6326087236404419,23
5,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,2.3150402545928954,0.5702898621559143,29
6,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,2.8241236448287963,0.495652174949646,35
7,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,3.1022908210754396,0.46521739959716796,39
8,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,3.4757020235061646,0.4057971119880676,45
9,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,3.8941455125808715,0.36014493703842165,51
10,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,4.239957475662232,0.3463768154382706,55
11,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,4.624502086639405,0.29637682139873506,61
12,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,4.915995264053345,0.284782612323761,67
13,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,5.402912235260009,0.23768116235733033,73
14,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,5.7425089359283445,0.22028985917568206,77
15,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,6.149998950958252,0.2072463810443878,83
16,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,6.447977590560913,0.16811594516038894,89
17,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,6.482637071609497,0.18043478578329086,93
18,InceptionV3_aug100_(2023-05-10)_1,InceptionV3,7.179528331756591,0.14855072796344757,99
19,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.3256892681121826,0.8152174293994904,3
20,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.3498831987380981,0.8152174234390259,7
21,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.4179157853126525,0.8065217554569244,13
22,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.6514636874198914,0.763043475151062,19
23,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.7323907613754272,0.7405797123908997,23
24,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,1.9876027584075928,0.7159420371055603,29
25,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,2.4436254620552065,0.6355072677135467,35
26,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,2.564288592338562,0.6079710304737092,39
27,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,3.085444927215576,0.5202898561954499,45
28,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,3.3738856315612793,0.48768116235733033,51
29,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,3.5687196254730225,0.46449276208877566,55
30,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,3.986324691772461,0.41521739661693574,61
31,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,4.3540579080581665,0.36956522464752195,67
32,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,4.661246728897095,0.3311594307422638,73
33,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,4.855480337142945,0.30217391848564146,77
34,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,5.334749746322632,0.2731884062290192,83
35,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,5.568422508239746,0.25652174055576327,89
36,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,5.649329805374146,0.21884058266878129,93
37,InceptionV3_aug100_(2023-05-13)_0,InceptionV3,5.986065149307251,0.21884058266878129,99
38,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.5726505279541017,0.8413043856620789,3
39,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.598235046863556,0.8347826480865479,7
40,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.6414171218872071,0.816666704416275,13
41,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.7949656963348388,0.7992753624916077,19
42,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.9866389393806458,0.7637681126594543,23
43,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,2.4184093952178953,0.7057971119880676,29
44,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,2.690086269378662,0.6485507488250732,35
45,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,3.076357102394104,0.6036232113838196,39
46,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,3.5842687845230103,0.5601449310779572,45
47,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,4.086115574836731,0.502173912525177,51
48,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,4.357823467254638,0.4688405871391296,55
49,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,4.902197599411011,0.4442029118537903,61
50,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,5.496231269836426,0.3985507309436798,67
51,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,5.91291823387146,0.376086962223053,73
52,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,6.442709732055664,0.32318841218948363,77
53,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,6.816687154769897,0.2992753654718399,83
54,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,7.253229427337646,0.2833333373069763,89
55,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,7.712903881072998,0.2710144937038422,93
56,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,8.032535171508789,0.23623188734054565,99
57,MobileNet_aug100_(2023-05-17)_0,MobileNet,1.8960984230041504,0.8246377229690551,3
58,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.0044662594795226,0.8173913359642029,7
59,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.157530188560486,0.7978260934352874,13
60,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.258665585517883,0.7615942001342774,19
61,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.4032376289367674,0.7318840622901917,23
62,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.834825110435486,0.6760869741439819,29
63,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.8931512594223023,0.6384058237075806,35
64,MobileNet_aug100_(2023-05-17)_0,MobileNet,3.2526768684387206,0.5840579867362976,39
65,MobileNet_aug100_(2023-05-17)_0,MobileNet,3.5574569940567016,0.5449275255203248,45
66,MobileNet_aug100_(2023-05-17)_0,MobileNet,4.078193092346192,0.4949275374412537,51
67,MobileNet_aug100_(2023-05-17)_0,MobileNet,4.0300874471664425,0.47391304969787595,55
68,MobileNet_aug100_(2023-05-17)_0,MobileNet,4.462659621238709,0.4500000089406967,61
69,MobileNet_aug100_(2023-05-17)_0,MobileNet,4.868320178985596,0.40652174651622774,67
70,MobileNet_aug100_(2023-05-17)_0,MobileNet,5.246577453613281,0.3884058028459549,73
71,MobileNet_aug100_(2023-05-17)_0,MobileNet,5.410193967819214,0.3666666716337204,77
72,MobileNet_aug100_(2023-05-17)_0,MobileNet,6.005359554290772,0.34057972133159636,83
73,MobileNet_aug100_(2023-05-17)_0,MobileNet,6.319668388366699,0.31594203114509584,89
74,MobileNet_aug100_(2023-05-17)_0,MobileNet,6.573236131668091,0.2942029029130936,93
75,MobileNet_aug100_(2023-05-17)_0,MobileNet,6.72492036819458,0.3137681245803833,99
76,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.1285836219787597,0.8311594605445862,3
77,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.3322046399116516,0.812318867444992,7
78,MobileNet_aug100_(2023-05-17)_1,MobileNet,1.7801522135734558,0.7731884002685547,13
79,MobileNet_aug100_(2023-05-17)_1,MobileNet,2.104895460605621,0.7195652246475219,19
80,MobileNet_aug100_(2023-05-17)_1,MobileNet,2.4028082847595216,0.6797101616859436,23
81,MobileNet_aug100_(2023-05-17)_1,MobileNet,2.6719112634658813,0.6217391550540924,29
82,MobileNet_aug100_(2023-05-17)_1,MobileNet,3.040903186798096,0.5673913061618805,35
83,MobileNet_aug100_(2023-05-17)_1,MobileNet,3.339781880378723,0.5137681126594543,39
84,MobileNet_aug100_(2023-05-17)_1,MobileNet,3.5730205297470095,0.4731884092092514,45
85,MobileNet_aug100_(2023-05-17)_1,MobileNet,3.9890456676483153,0.4166666746139526,51
86,MobileNet_aug100_(2023-05-17)_1,MobileNet,4.176504588127136,0.4000000059604645,55
87,MobileNet_aug100_(2023-05-17)_1,MobileNet,4.33282437324524,0.3666666716337204,61
88,MobileNet_aug100_(2023-05-17)_1,MobileNet,4.889386224746704,0.3101449280977249,67
89,MobileNet_aug100_(2023-05-17)_1,MobileNet,4.968441343307495,0.3065217435359955,73
90,MobileNet_aug100_(2023-05-17)_1,MobileNet,5.313212966918945,0.28043477833271024,77
91,MobileNet_aug100_(2023-05-17)_1,MobileNet,5.561918830871582,0.24782608896493913,83
92,MobileNet_aug100_(2023-05-17)_1,MobileNet,5.883201026916504,0.22391304820775987,89
93,MobileNet_aug100_(2023-05-17)_1,MobileNet,6.081534099578858,0.2347826138138771,93
94,MobileNet_aug100_(2023-05-17)_1,MobileNet,6.297778844833374,0.2028985545039177,99
95,MobileNet_aug100_(2023-05-20)_0,MobileNet,0.7249815762042999,0.9043478488922119,3
96,MobileNet_aug100_(2023-05-20)_0,MobileNet,0.7876036524772644,0.8927536487579346,7
97,MobileNet_aug100_(2023-05-20)_0,MobileNet,1.0214815199375153,0.8478261232376099,13
98,MobileNet_aug100_(2023-05-20)_0,MobileNet,1.3969994902610778,0.8137681305408477,19
99,MobileNet_aug100_(2023-05-20)_0,MobileNet,1.6849947214126586,0.7768115937709809,23
100,MobileNet_aug100_(2023-05-20)_0,MobileNet,2.1755988717079164,0.713043487071991,29
101,MobileNet_aug100_(2023-05-20)_0,MobileNet,2.9044403791427613,0.6586956739425659,35
102,MobileNet_aug100_(2023-05-20)_0,MobileNet,3.5210490465164184,0.6137681305408478,39
103,MobileNet_aug100_(2023-05-20)_0,MobileNet,4.1253790855407715,0.5630434811115265,45
104,MobileNet_aug100_(2023-05-20)_0,MobileNet,5.064187049865723,0.49057971239089965,51
105,MobileNet_aug100_(2023-05-20)_0,MobileNet,5.513165855407715,0.4557971119880676,55
106,MobileNet_aug100_(2023-05-20)_0,MobileNet,6.487739753723145,0.43188406229019166,61
107,MobileNet_aug100_(2023-05-20)_0,MobileNet,7.592377710342407,0.3681159526109695,67
108,MobileNet_aug100_(2023-05-20)_0,MobileNet,8.259115839004517,0.34202899038791656,73
109,MobileNet_aug100_(2023-05-20)_0,MobileNet,8.636635017395019,0.30869566202163695,77
110,MobileNet_aug100_(2023-05-20)_0,MobileNet,9.1897216796875,0.2847826138138771,83
111,MobileNet_aug100_(2023-05-20)_0,MobileNet,10.62120885848999,0.2514492765069008,89
112,MobileNet_aug100_(2023-05-20)_0,MobileNet,10.883042240142823,0.2507246404886246,93
113,MobileNet_aug100_(2023-05-20)_0,MobileNet,11.151058769226074,0.23623188734054565,99
